pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,count
FF,2025-07-06,97.4,-2.38,5.59,"Skenes, Paul",670156,694973,,foul,,,,,1,Miles Mastrobuoni flies out to left fielder Tommy Pham.,R,L,R,SEA,PIT,S,,,1,1,2025,-1.23,0.85,-0.46,2.74,,,686527.0,0,5,Bot,,,,,,,7.969183483240024,-141.6241703128517,-4.142733204892994,-18.374244498710645,29.762501115191085,-19.948652032841693,3.12,1.37,305.0,88.2,32.0,97.7,2224,6.3,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.15,,,,,,,,37,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,234,0.0,-0.049,63.0,5.4,,0.049,88.2,0,0,0.612,0.612,23,29,23,30,2,1,5.0,3.0,,,1.54,1.23,-1.23,26.5,-9.642570589037676,26.97215670791691,30.943160222157974,41.59612500941388,19.18113988524192,1-1
FF,2025-07-06,96.4,-2.41,5.54,"Skenes, Paul",670156,694973,,called_strike,,,,,6,Miles Mastrobuoni flies out to left fielder Tommy Pham.,R,L,R,SEA,PIT,S,,,1,0,2025,-1.4,0.79,0.4,2.28,,,686527.0,0,5,Bot,,,,,,,10.623505418231316,-139.9129451725166,-4.881852654681385,-20.716378012608704,30.79084423235236,-20.7814344638953,3.1,1.37,,,,96.4,2194,6.4,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.12,,,,,,,,37,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,233,0.0,-0.049,,,,0.049,,0,0,0.612,0.612,23,29,23,30,2,1,5.0,3.0,,,1.67,1.4,-1.4,23.2,,,,,,1-0
ST,2025-07-06,83.2,-2.56,5.55,"Skenes, Paul",670156,694973,,ball,,,,,9,Miles Mastrobuoni flies out to left fielder Tommy Pham.,R,L,R,SEA,PIT,B,,,0,0,2025,1.01,0.6,0.43,1.45,,,686527.0,0,5,Bot,,,,,,,4.844850817843371,-121.10012286308196,-4.13735411101751,9.05483984238456,23.282430279587537,-25.64585648303349,3.02,1.4,,,,83.1,2421,6.2,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.35,,,,,,,,37,1,Sweeper,0,0,0,0,0,0,0,0,Strategic,Standard,87,0.0,0.042,,,,-0.042,,0,0,0.612,0.612,23,29,23,30,2,1,5.0,3.0,,,2.68,-1.01,1.01,24.5,,,,,,0-0
FS,2025-07-06,91.4,-2.39,5.6,"Skenes, Paul",686527,694973,single,hit_into_play,,,,,7,Dominic Canzone singles on a sharp line drive to right fielder Bryan Reynolds.,R,L,R,SEA,PIT,X,9.0,line_drive,0,0,2025,-1.18,-0.16,-0.42,1.59,,,,0,5,Bot,171.44,83.14,,,,,7.503581098664548,-132.9993505453458,-3.9511540050567584,-15.58354350299599,25.621652092297797,-33.54047784966791,3.24,1.43,243.0,103.9,12.0,91.7,1631,6.2,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.25,0.931,0.938,0.9,1.0,1.0,0.0,4.0,36,1,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,250,0.047,0.448,70.1,7.5,1.248,-0.448,103.9,0,0,0.565,0.565,23,27,23,28,2,1,5.0,1.0,,,2.87,1.18,-1.18,23.4,11.451342724080936,-3.0177245740115635,31.323961948819324,42.90936092666371,43.87277243847465,0-0
FF,2025-07-06,98.6,-2.04,5.56,"Skenes, Paul",641598,694973,strikeout,called_strike,,,,,2,Mitch Garver called out on strikes.,R,R,R,SEA,PIT,S,2.0,,1,2,2025,-1.34,0.83,0.21,3.38,,,,2,4,Bot,,,,,,,9.236227180174778,-143.33852293187402,-2.411408067105114,-20.577194515022978,30.884044288680712,-20.36152300820759,3.47,1.59,,,,98.8,2174,6.3,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.18,,0.0,0.0,1.0,0.0,0.0,,30,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,236,-0.013,-0.18,,,,0.18,,0,0,0.513,0.513,23,34,23,34,2,1,5.0,2.0,,,1.51,1.34,1.34,25.0,,,,,,1-2
ST,2025-07-06,85.8,-2.13,5.41,"Skenes, Paul",641598,694973,,swinging_strike,,,,,14,Mitch Garver called out on strikes.,R,R,R,SEA,PIT,S,,,1,1,2025,0.69,0.73,0.75,1.33,,,,2,4,Bot,,,,,,,5.39527563376412,-124.75596134181669,-4.81930183241099,6.105712151931521,25.823672703552106,-23.779391151566852,3.54,1.59,,,,85.6,2470,6.3,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.23,,,,,,,,30,3,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,92,0.0,-0.064,67.2,8.5,,0.064,,0,0,0.513,0.513,23,34,23,34,2,1,5.0,2.0,,,2.38,-0.69,-0.69,23.9,29.002345317699813,-54.48181473935759,32.419569022011224,40.99776802495258,68.28740034520258,1-1
ST,2025-07-06,85.3,-2.14,5.48,"Skenes, Paul",641598,694973,,called_strike,,,,,6,Mitch Garver called out on strikes.,R,R,R,SEA,PIT,S,,,1,0,2025,0.82,0.65,0.42,2.42,,,,2,4,Bot,,,,,,,4.3710974507190254,-124.17126357438404,-2.2014367482612105,7.535103738251684,25.60089516548367,-25.18915789891556,3.43,1.59,,,,85.2,2262,6.3,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.24,,,,,,,,30,2,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,103,0.0,-0.051,,,,0.051,,0,0,0.513,0.513,23,34,23,34,2,1,5.0,2.0,,,2.48,-0.82,-0.82,24.8,,,,,,1-0
SL,2025-07-06,85.5,-1.97,5.51,"Skenes, Paul",641598,694973,,ball,,,,,14,Mitch Garver called out on strikes.,R,R,R,SEA,PIT,B,,,0,0,2025,0.39,0.67,1.55,2.04,,,,2,4,Bot,,,,,,,7.494362562000335,-124.33186373045253,-3.2276570611290776,2.5610868832684517,25.374704449272535,-24.768049385786615,3.39,1.59,,,,85.3,2397,6.2,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.27,,,,,,,,30,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,107,0.0,0.04,,,,-0.04,,0,0,0.513,0.513,23,34,23,34,2,1,5.0,2.0,,,2.46,-0.39,-0.39,26.9,,,,,,0-0
FF,2025-07-06,98.1,-2.5,5.61,"Skenes, Paul",670042,694973,strikeout,swinging_strike,,,,,2,Luke Raley strikes out swinging.,R,L,R,SEA,PIT,S,2.0,,2,2,2025,-1.02,1.02,0.24,3.54,,,,1,4,Bot,,,,,,,9.736788726319686,-142.57786056390657,-2.5089586148915597,-16.033075413885395,30.263465729061537,-17.776224185875986,3.44,1.5,,,,98.2,2185,6.2,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.27,,0.0,0.0,1.0,0.0,0.0,,29,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,237,-0.019,-0.225,66.3,5.8,,0.225,,0,0,0.532,0.532,23,30,23,31,2,1,5.0,1.0,,,1.34,1.02,-1.02,25.6,8.623280685913892,12.599399071277906,31.02120250733438,32.82635965343819,22.644720576831915,2-2
FF,2025-07-06,98.9,-2.48,5.6,"Skenes, Paul",670042,694973,,foul,,,,,6,Luke Raley strikes out swinging.,R,L,R,SEA,PIT,S,,,2,2,2025,-1.31,0.96,0.58,2.15,,,,1,4,Bot,,,,,,,11.348973478559683,-143.44941207459888,-6.175424891106875,-20.675410568180208,32.29832757987183,-17.544384178650105,3.44,1.5,152.0,83.3,9.0,98.7,2294,6.3,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.22,,,,,,,,29,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,239,0.0,0.0,67.9,5.6,,0.0,88.0,0,0,0.532,0.532,23,30,23,31,2,1,5.0,1.0,,,1.38,1.31,-1.31,28.2,-9.94976270000849,25.595517978785136,39.72658737522207,29.324318187883556,16.619562716711386,2-2
