pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,count
ST,2025-07-08,88.4,-0.67,5.41,"Jax, Griffin",691718,643377,strikeout,swinging_strike,,,,,14,Pete Crow-Armstrong strikes out swinging.,R,L,R,MIN,CHC,S,2.0,,1,2,2025,1.02,-0.44,0.46,1.07,,664023.0,663656.0,1,8,Top,,,,,,,0.621173166473321,-128.74070272729895,-3.5587202711846615,11.158608842390088,28.65635332447416,-36.45110600616397,3.18,1.49,,,,88.5,3188,6.5,777190,543877,664034,686797,668904,621043,664056,621439,650489,54.01,,0.0,0.0,1.0,0.0,0.0,,58,4,Sweeper,2,0,0,2,0,2,0,2,Infield shade,Standard,45,0.078,-0.177,76.2,8.5,,0.177,,2,-2,0.795,0.205,30,23,31,23,1,3,2.0,2.0,3.0,1.0,3.37,-1.02,1.02,39.6,25.97007643433647,-31.789000058032848,37.221650035500325,30.062617036109167,50.68487342490616,1-2
ST,2025-07-08,88.2,-0.79,5.43,"Jax, Griffin",691718,643377,,swinging_strike,,,,,9,Pete Crow-Armstrong strikes out swinging.,R,L,R,MIN,CHC,S,,,1,1,2025,1.33,-0.22,0.56,1.65,,664023.0,663656.0,1,8,Top,,,,,,,0.5237406615985216,-128.4135278750452,-2.6464141920050346,14.590454519950084,27.298205758844745,-34.240899734353455,3.18,1.49,,,,88.4,3157,6.4,777190,543877,664034,686797,668904,621043,664056,621439,650489,54.07,,,,,,,,58,3,Sweeper,2,0,0,2,0,2,0,2,Infield shade,Standard,39,0.0,-0.04,71.0,8.2,,0.04,,2,-2,0.795,0.205,30,23,31,23,1,3,2.0,2.0,3.0,1.0,3.15,-1.33,1.33,41.0,22.857678635779003,-30.400801828148328,30.192047306151128,29.99642652792878,48.919682679454176,1-1
CH,2025-07-08,94.2,-0.76,5.47,"Jax, Griffin",691718,643377,,swinging_strike,,,,,13,Pete Crow-Armstrong strikes out swinging.,R,L,R,MIN,CHC,S,,,1,0,2025,-1.14,0.11,-0.98,2.09,,664023.0,663656.0,1,8,Top,,,,,,,1.93791895199907,-137.14991272759892,-3.308488561702885,-14.775489518220928,29.820005117687224,-30.304289283709707,3.18,1.49,,,,94.3,1920,6.3,777190,543877,664034,686797,668904,621043,664056,621439,650489,54.21,,,,,,,,58,2,Changeup,2,0,0,2,0,2,0,2,Infield shade,Standard,232,0.0,-0.054,75.7,7.7,,0.054,,2,-2,0.795,0.205,30,23,31,23,1,3,2.0,2.0,3.0,1.0,2.45,1.14,-1.14,44.8,19.45320232112708,-15.88539922260348,24.156280701437804,46.69000314872654,44.83400633937829,1-0
CH,2025-07-08,94.0,-0.71,5.49,"Jax, Griffin",691718,643377,,ball,,,,,14,Pete Crow-Armstrong strikes out swinging.,R,L,R,MIN,CHC,B,,,0,0,2025,-1.22,0.1,0.48,1.33,,664023.0,663656.0,1,8,Top,,,,,,,5.8337916497727695,-136.6673928495185,-5.260126652193581,-16.621787519909073,33.36900549333107,-29.82540740035896,3.1,1.46,,,,93.9,2027,6.5,777190,543877,664034,686797,668904,621043,664056,621439,650489,53.95,,,,,,,,58,1,Changeup,2,0,0,2,0,2,0,2,Infield shade,Standard,232,0.0,0.03,,,,-0.03,,2,-2,0.795,0.205,30,23,31,23,1,3,2.0,2.0,3.0,1.0,2.5,1.22,-1.22,44.0,,,,,,0-0
ST,2025-07-08,88.2,-0.69,5.39,"Jax, Griffin",673548,643377,strikeout,swinging_strike,,,,,14,Seiya Suzuki strikes out swinging.,R,R,R,MIN,CHC,S,2.0,,0,2,2025,1.46,-0.25,0.99,1.73,,664023.0,663656.0,0,8,Top,,,,,,,1.0271387412729704,-128.44516260004116,-2.2766235015356715,15.939418326783168,27.829439518988263,-34.71138183840845,3.16,1.4,,,,88.5,3099,6.5,777190,543877,664034,686797,668904,621043,664056,621439,650489,53.97,,0.0,0.0,1.0,0.0,0.0,,57,3,Sweeper,2,0,0,2,0,2,0,2,Standard,Standard,47,0.093,-0.159,79.8,8.5,,0.159,,2,-2,0.702,0.298,30,30,31,31,1,3,2.0,2.0,3.0,1.0,3.19,-1.46,-1.46,42.4,21.66718023218925,-29.511439728610036,26.51039473597102,47.971223298390726,44.258243641018126,0-2
ST,2025-07-08,88.6,-0.86,5.38,"Jax, Griffin",673548,643377,,swinging_strike,,,,,12,Seiya Suzuki strikes out swinging.,R,R,R,MIN,CHC,S,,,0,1,2025,1.04,0.05,0.87,2.38,,664023.0,663656.0,0,8,Top,,,,,,,2.048797113069635,-129.11514462918646,-1.4156544419542767,11.285858414879616,26.22718560095253,-31.479394671904515,3.16,1.4,,,,89.1,3129,6.4,777190,543877,664034,686797,668904,621043,664056,621439,650489,54.05,,,,,,,,57,2,Sweeper,2,0,0,2,0,2,0,2,Standard,Standard,52,0.0,-0.071,77.8,8.7,,0.071,,2,-2,0.702,0.298,30,30,31,31,1,3,2.0,2.0,3.0,1.0,2.83,-1.04,-1.04,37.8,27.18589908628299,-37.465856128978814,25.221335328785457,44.8284689064242,51.777503618574286,0-1
FF,2025-07-08,98.1,-0.66,5.45,"Jax, Griffin",673548,643377,,foul,,,,,9,Seiya Suzuki strikes out swinging.,R,R,R,MIN,CHC,S,,,0,0,2025,-0.46,1.5,0.72,1.85,,664023.0,663656.0,0,8,Top,,,,,,,4.825270072655889,-142.5410534376531,-7.690557237700667,-7.441345035246902,34.94496279239556,-10.173802119321728,3.16,1.4,232.0,86.2,55.0,98.1,2568,6.5,777190,543877,664034,686797,668904,621043,664056,621439,650489,53.97,,,,,,,,57,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,215,0.0,-0.044,76.4,7.5,,0.044,88.0,2,-2,0.702,0.298,30,30,31,31,1,3,2.0,2.0,3.0,1.0,0.89,0.46,0.46,40.6,4.311165737402182,0.4794988467822949,31.38654272300833,44.96444640866378,28.034634817927603,0-0
CH,2025-07-08,93.4,-0.79,5.39,"Jax, Griffin",663656,643377,walk,ball,,,,,13,Kyle Tucker walks. Ian Happ to 2nd.,R,L,R,MIN,CHC,B,,,3,2,2025,-1.45,0.15,-1.26,2.47,,,664023.0,0,8,Top,,,,,,,1.9831576543683025,-135.90402933294746,-2.032971615129732,-18.276379139593875,33.70071168574578,-30.110203146763094,3.36,1.61,,,,93.1,1895,6.4,777190,543877,664034,686797,668904,621043,664056,621439,650489,54.06,,0.6929,0.7,1.0,0.0,0.0,,56,7,Changeup,2,0,0,2,0,2,0,2,Infield shade,Standard,228,-0.102,0.291,,,,-0.291,,2,-2,0.804,0.196,30,28,31,28,1,3,2.0,2.0,3.0,1.0,2.49,1.45,-1.45,40.8,,,,,,3-2
ST,2025-07-08,89.2,-0.74,5.28,"Jax, Griffin",663656,643377,,ball,,,,,14,Kyle Tucker walks. Ian Happ to 2nd.,R,L,R,MIN,CHC,B,,,2,2,2025,1.1,-0.24,1.33,0.88,,,664023.0,0,8,Top,,,,,,,2.7696124475690107,-129.82754841569255,-4.245942644431535,11.71617993405517,30.277586063445145,-34.116983032450236,3.33,1.55,,,,89.0,3180,6.4,777190,543877,664034,686797,668904,621043,664056,621439,650489,54.08,,,,,,,,56,6,Sweeper,2,0,0,2,0,2,0,2,Infield shade,Standard,39,0.0,0.117,,,,-0.117,,2,-2,0.804,0.196,30,28,31,28,1,3,2.0,2.0,3.0,1.0,3.13,-1.1,1.1,40.4,,,,,,2-2
CH,2025-07-08,93.6,-0.64,5.48,"Jax, Griffin",663656,643377,,ball,,,,,13,Kyle Tucker walks. Ian Happ to 2nd.,R,L,R,MIN,CHC,B,,,1,2,2025,-1.36,-0.02,-1.19,1.77,,,664023.0,0,8,Top,,,,,,,1.5856852353607942,-136.10973984389165,-3.6801247479253703,-17.026986115881556,35.45053625235417,-31.748993529175856,3.4,1.59,,,,93.1,1872,6.5,777190,543877,664034,686797,668904,621043,664056,621439,650489,54.02,,,,,,,,56,5,Changeup,2,0,0,2,0,2,0,2,Infield shade,Standard,231,0.0,0.045,,,,-0.045,,2,-2,0.804,0.196,30,28,31,28,1,3,2.0,2.0,3.0,1.0,2.67,1.36,-1.36,42.2,,,,,,1-2
